[1494824400] LOG ROTATION: DAILY
[1494824400] LOG VERSION: 2.0
[1494824400] CURRENT HOST STATE: OL-DC01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.46 ms
[1494824400] CURRENT HOST STATE: OL-DC02;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.51 ms
[1494824400] CURRENT HOST STATE: OL-FILESERV;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.50 ms
[1494824400] CURRENT HOST STATE: OL-SCCM;DOWN;HARD;10;CRITICAL - Host Unreachable (10.0.0.45)
[1494824400] CURRENT HOST STATE: OL-SQL01;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.59 ms
[1494824400] CURRENT HOST STATE: OwnersList10;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList11;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList12;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList13;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList14;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList16;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList17;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList18;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList19;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList2;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList21;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList22;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList23;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList24;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList25;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList26;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList27;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList28;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList29;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList30;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList31;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList32;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList4;UP;HARD;1;
[1494824400] CURRENT HOST STATE: OwnersList8;UP;HARD;1;
[1494824400] CURRENT HOST STATE: localhost;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.04 ms
[1494824400] CURRENT HOST STATE: mariadb;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.41 ms
[1494824400] CURRENT HOST STATE: ol-router0;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.80 ms
[1494824400] CURRENT HOST STATE: ol-switch0;UP;HARD;1;PING OK - Packet loss = 0%, RTA = 0.65 ms
[1494824400] CURRENT SERVICE STATE: OwnersList10;C:\ Drive Space;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList10;CPU Load;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList10;Explorer;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList10;Memory Usage;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList10;NSClient++ Version;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList10;Uptime;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList10;W3SVC;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList11;C:\ Drive Space;OK;HARD;1;c:\ - total: 148.91 Gb - used: 50.28 Gb (34%) - free 98.63 Gb (66%)
[1494824400] CURRENT SERVICE STATE: OwnersList11;CPU Load;OK;HARD;1;CPU Load 0% (5 min average)
[1494824400] CURRENT SERVICE STATE: OwnersList11;Explorer;OK;HARD;1;explorer.exe: Running
[1494824400] CURRENT SERVICE STATE: OwnersList11;Memory Usage;OK;HARD;1;Memory usage: total:6032.73 MB - used: 1153.31 MB (19%) - free: 4879.41 MB (81%)
[1494824400] CURRENT SERVICE STATE: OwnersList11;NSClient++ Version;OK;HARD;1;NSClient++ 0,4,1,73 2012-12-17
[1494824400] CURRENT SERVICE STATE: OwnersList11;Uptime;OK;HARD;1;System Uptime - 4 day(s) 20 hour(s) 25 minute(s)
[1494824400] CURRENT SERVICE STATE: OwnersList11;W3SVC;CRITICAL;HARD;3;W3SVC: Not found
[1494824400] CURRENT SERVICE STATE: OwnersList12;C:\ Drive Space;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList12;CPU Load;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList12;Explorer;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList12;Memory Usage;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList12;NSClient++ Version;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList12;Uptime;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList12;W3SVC;CRITICAL;HARD;3;CRITICAL - Socket timeout
[1494824400] CURRENT SERVICE STATE: OwnersList13;C:\ Drive Space;CRITICAL;HARD;3;connect to address 10.0.0.124 and port 12489: Connection refused
